timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,pSpintor::VAX_speed
0.00800000,0.19960282,0.02742004,628392628,-920.10498046,5298555,2441.23535156,0.89954280,1379.99975585
0.01199999,0.28162419,0.00250244,628392625,-937.27111816,5298565,2453.81909179,0.87407165,1379.99975585
0.01599999,0.34931501,-0.01808547,628392621,-951.00402832,5298575,2476.46972656,0.87980616,1379.99975585
0.01999999,0.44444981,-0.05467987,628392617,-1019.66857910,5298585,2501.63720703,0.83750003,1379.99975585
0.02399999,0.48092296,-0.04277038,628392613,-1023.10180664,5298595,2519.25439453,0.90534675,1379.99975585
0.02799999,0.35521143,0.00555229,628392608,-1071.16699218,5298605,2521.77099609,0.85896575,1379.99975585
0.03199999,0.34794566,0.01041221,628392604,-1105.49926757,5298615,2557.00537109,0.88848102,1379.99975585
0.03599999,0.46915343,-0.02419662,628392600,-1112.36572265,5298625,2587.20629882,0.91838729,1379.99975585
0.03999999,0.51334095,-0.02801513,628392595,-1139.83154296,5298636,2569.58911132,0.91005718,1379.99975585
0.04399999,0.51530283,-0.01962280,628392591,-1177.59704589,5298646,2619.92382812,0.97215402,1379.99975585
0.04799999,0.52243286,-0.01247787,628392586,-1225.66223144,5298657,2612.37377929,0.97225421,1379.99975585
0.05199999,0.40706369,0.02706527,628392581,-1253.12805175,5298667,2697.94262695,0.93713593,1379.99975585
0.05599999,0.37659817,0.02910614,628392576,-1301.19323730,5298678,2682.84228515,0.94684696,1379.99975585
0.05999999,0.40454843,0.02050018,628392570,-1335.52551269,5298689,2690.39257812,0.94130122,1379.99975585
0.06399999,0.42223200,0.01313209,628392565,-1352.69165039,5298700,2760.86132812,0.89247864,1379.99975585
0.06799999,0.36588674,0.02456283,628392560,-1393.89038085,5298710,2765.89477539,0.94477868,1379.99975585
0.07199999,0.42783433,-0.00024223,628392554,-1445.38879394,5298722,2735.69384765,0.96827155,1379.99975585
0.07599999,0.40559631,0.01059532,628392548,-1490.02075195,5298733,2846.43017578,0.96304732,1379.99975585
0.07999999,0.39603045,0.01041984,628392542,-1527.78625488,5298744,2836.36352539,0.99857389,1379.99975585
0.08399999,0.39858719,0.00532913,628392536,-1555.25207519,5298755,2831.32983398,0.98303735,1379.99975585
0.08799999,0.31377649,0.02907562,628392530,-1627.34985351,5298767,2886.69775390,0.96540927,1379.99975585
0.09199999,0.41824141,0.00329971,628392523,-1627.34985351,5298778,2931.99951171,1.02012360,1379.99975585
0.09599999,0.49337756,-0.01360511,628392517,-1647.94921875,5298790,2962.20019531,0.97746300,1379.99975585
0.09999999,0.45299518,-0.00118446,628392510,-1730.34667968,5298802,2962.20019531,0.93364620,1379.99975585
0.10399999,0.44638204,-0.00440025,628392503,-1774.97863769,5298814,3042.73559570,0.96769511,1379.99975585
0.10799999,0.28397160,0.04303169,628392496,-1823.04382324,5298826,3037.70239257,0.95204114,1379.99975585
0.11199999,0.39125552,0.00849151,628392489,-1826.47705078,5298838,3027.63549804,0.95627152,1379.99975585
0.11599999,0.44198888,-0.00938224,628392481,-1891.70837402,5298851,3065.38623046,0.95465642,1379.99975585
0.11999999,0.37616381,0.00839614,628392473,-1950.07324218,5298863,3155.98925781,1.01956307,1379.99975585
0.12399999,0.46490502,-0.02219390,628392465,-1956.93969726,5298876,3140.88842773,1.02321100,1379.99975585
0.12799999,0.54153072,-0.03960418,628392457,-2042.77038574,5298888,3168.57275390,1.03605592,1379.99975585
0.13199999,0.49689278,-0.02074813,628392449,-2070.23608398,5298901,3198.77368164,1.01356399,1379.99975585
0.13599999,0.55070799,-0.03527259,628392441,-2169.79980468,5298914,3314.54345703,1.01372385,1379.99975585
0.13999999,0.59356218,-0.03259277,628392432,-2183.53271484,5298927,3271.75903320,1.08782005,1379.99975585
0.14399999,0.58194714,-0.01704788,628392423,-2255.63037109,5298940,3294.40942382,1.07219803,1379.99975585
0.14799999,0.45377495,0.03824615,628392414,-2265.93017578,5298953,3319.57690429,1.00243592,1379.99975585
0.15199999,0.35408630,0.05073165,628392405,-2338.02783203,5298967,3339.71093750,0.98091042,1379.99975585
0.15599998,0.39294812,0.02609634,628392395,-2416.99218750,5298980,3460.51440429,0.97658693,1379.99975585
0.15999998,0.47189366,0.00371742,628392386,-2454.75756835,5298994,3445.45654296,0.98449760,1379.99975585
0.16399998,0.58338081,-0.02984237,628392376,-2478.79028320,5299008,3440.38037109,0.99908542,1379.99975585
0.16799998,0.49559643,-0.01037406,628392366,-2574.92065429,5299022,3500.78222656,0.99507725,1379.99975585
0.17199998,0.45922935,0.00760269,628392355,-2629.85229492,5299036,3480.64819335,0.97027862,1379.99975585
0.17599998,0.46337410,0.00704574,628392345,-2671.05102539,5299050,3530.98291015,0.99334520,1379.99975585
0.17999998,0.43553823,0.01704216,628392334,-2732.84912109,5299064,3609.00170898,1.00553643,1379.99975585
0.18399998,0.54666692,-0.01498794,628392323,-2791.21386718,5299079,3676.95361328,1.00640881,1379.99975585
0.18799998,0.54797720,-0.01483535,628392311,-2832.41259765,5299093,3671.92016601,1.03718745,1379.99975585
0.19199998,0.68958294,-0.05787467,628392300,-2890.77758789,5299108,3714.70483398,1.03081536,1379.99975585
0.19599998,0.65449309,-0.03438568,628392288,-2962.87524414,5299123,3676.95361328,1.04598176,1379.99975585
0.19999998,0.58594965,-0.00779342,628392276,-3031.53979492,5299138,3739.87231445,1.00990378,1379.99975585
0.20399998,0.53443390,0.02276229,628392264,-3065.87207031,5299153,3754.97265625,0.99720740,1379.99975585
0.20799998,0.48878276,0.02999496,628392252,-3117.37060546,5299168,3732.32202148,1.03712427,1379.99975585
0.21199998,0.55813676,0.00853729,628392239,-3172.30224609,5299183,3797.75683593,1.03346860,1379.99975585
0.21599998,0.48065337,0.01219749,628392226,-3268.43261718,5299199,3850.60888671,1.07368946,1379.99975585
0.21999998,0.50322550,0.00445556,628392213,-3295.89843750,5299214,3900.94335937,1.04581928,1379.99975585
0.22399998,0.52668052,0.01646423,628392200,-3347.39672851,5299230,3926.11083984,0.99133825,1379.99975585
0.22799998,0.46087214,0.02556419,628392186,-3412.62817382,5299246,3989.02929687,0.95917981,1379.99975585
0.23199998,0.64051038,-0.02865982,628392172,-3419.49462890,5299262,4026.78027343,0.96295046,1379.99975585
0.23599998,0.59833353,-0.02996253,628392158,-3556.82373046,5299278,4084.66552734,0.98247158,1379.99975585
0.23999998,0.66232663,-0.03201293,628392144,-3556.82373046,5299294,4099.76562500,0.99695146,1379.99975585
0.24399998,0.72254812,-0.04267501,628392130,-3646.08764648,5299310,4142.55029296,1.08013713,1379.99975585
0.24799998,0.71830594,-0.01932144,628392115,-3701.01928710,5299326,4167.71728515,1.04348039,1379.99975585
0.25199998,0.52056312,0.03154754,628392100,-3762.81738281,5299343,4195.40136718,1.04411315,1379.99975585
0.25599998,0.46157404,0.06316947,628392085,-3804.01611328,5299359,4235.66943359,0.95719999,1379.99975585
0.25999998,0.42471513,0.05839157,628392070,-3862.38085937,5299376,4230.63574218,0.97447371,1379.99975585
0.26399998,0.61562365,-0.01128387,628392054,-3858.94775390,5299393,4275.93701171,1.01622939,1379.99975585
0.26799998,0.76467180,-0.05967330,628392038,-3924.17895507,5299409,4273.42041015,1.04898107,1379.99975585
0.27199998,0.62093198,-0.01737594,628392022,-4040.90869140,5299426,4303.62109375,1.08501613,1379.99975585
0.27599998,0.67611813,-0.02260017,628392006,-4109.57324218,5299443,4331.30517578,1.02926826,1379.99975585
0.27999998,0.57116210,0.01416587,628391990,-4174.80468750,5299460,4343.88867187,1.02315521,1379.99975585
0.28399998,0.57365351,0.03244495,628391973,-4157.63818359,5299478,4341.37255859,0.92468678,1379.99975585
0.28799998,0.57716679,0.02144908,628391956,-4236.60253906,5299495,4316.20507812,0.94155162,1379.99975585
0.29199998,0.63189661,-0.00012016,628391939,-4270.93505859,5299512,4348.92285156,0.96323138,1379.99975585
0.29599998,0.55653190,0.01632690,628391922,-4343.03271484,5299530,4341.37255859,1.03471231,1379.99975585
0.29999997,0.54183417,0.02175617,628391905,-4349.89892578,5299548,4384.15673828,1.02923214,1379.99975585
0.30399997,0.53989738,0.00608348,628391888,-4421.99707031,5299565,4386.67382812,1.00008606,1379.99975585
0.30799997,0.64454597,-0.01750469,628391870,-4439.16308593,5299583,4426.94140625,0.99403840,1379.99975585
0.31199997,0.68787115,-0.01928901,628391852,-4446.02929687,5299601,4429.45800781,0.99476695,1379.99975585
0.31599997,0.70813131,-0.01411533,628391834,-4490.66162109,5299619,4469.72607421,1.01102888,1379.99975585
0.31999997,0.55615878,0.02359294,628391816,-4555.89257812,5299636,4482.30957031,1.02289283,1379.99975585
0.32399997,0.46276009,0.03719139,628391798,-4627.99072265,5299654,4515.02734375,1.00471639,1379.99975585
0.32799997,0.46724042,0.04673862,628391779,-4600.52490234,5299673,4593.04589843,0.92875421,1379.99975585
0.33199997,0.46063166,0.03714752,628391761,-4607.39111328,5299691,4570.39550781,0.91475200,1379.99975585
0.33599997,0.47167181,0.00785732,628391742,-4696.65527343,5299709,4552.77832031,0.95895409,1379.99975585
0.33999997,0.66158020,-0.05825042,628391724,-4669.18945312,5299727,4532.64453125,1.00818681,1379.99975585
